epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,3679.7,0.39588,0.26417,0.93,0.99834,0.99537,0.995,0.98439,0.20733,0.12207,0.79284,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3724.51,0.39723,0.2621,0.93261,0.99803,0.99505,0.99499,0.98432,0.20767,0.12195,0.79302,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3769.6,0.39433,0.25836,0.93006,0.99711,0.99626,0.99499,0.98416,0.20787,0.12109,0.79228,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3815.14,0.38857,0.25443,0.9261,0.99793,0.99627,0.99499,0.98458,0.20789,0.12087,0.79198,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3860.05,0.39273,0.25654,0.92847,0.9973,0.99629,0.99499,0.98488,0.20793,0.12022,0.79197,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3905.42,0.3901,0.25557,0.92952,0.99793,0.99663,0.99499,0.98463,0.20776,0.12002,0.79185,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3950.26,0.38768,0.25212,0.92719,0.99793,0.99606,0.99499,0.98482,0.2076,0.12071,0.79181,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3995.53,0.38284,0.25114,0.92533,0.9967,0.99622,0.99498,0.98488,0.207,0.12077,0.7918,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4040.22,0.38248,0.25221,0.92814,0.99793,0.99505,0.99499,0.98482,0.20685,0.12046,0.79165,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4085.27,0.37872,0.24779,0.9223,0.99747,0.99587,0.99498,0.98479,0.20653,0.11906,0.79151,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4131.99,0.22199,0.14144,0.80631,0.99793,0.99529,0.99498,0.98434,0.20645,0.11866,0.79134,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4176.61,0.2157,0.13583,0.80142,0.99828,0.99505,0.99498,0.98448,0.20616,0.11831,0.79124,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4221.59,0.21334,0.13381,0.80333,0.99707,0.99587,0.99498,0.98449,0.20581,0.11851,0.79119,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4266.5,0.21159,0.1317,0.80201,0.99711,0.99583,0.99499,0.98418,0.20535,0.11862,0.7911,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4311.88,0.20972,0.1312,0.80283,0.99876,0.99447,0.99498,0.98383,0.20481,0.11803,0.79087,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4357.35,0.207,0.1279,0.80043,0.99876,0.99496,0.99499,0.98428,0.20466,0.11798,0.79097,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4402.89,0.2042,0.12578,0.80049,0.99808,0.99464,0.99498,0.98447,0.2044,0.11733,0.79101,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4447.62,0.20294,0.12512,0.79959,0.99793,0.99493,0.99498,0.98442,0.20416,0.11688,0.79097,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4492.38,0.20109,0.12193,0.79882,0.99834,0.99541,0.99499,0.98503,0.20374,0.11692,0.79084,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4537.16,0.19983,0.12044,0.79841,0.99826,0.99546,0.99499,0.98511,0.20374,0.11651,0.79087,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
